ts_code,name,industry,aliases
300750.SZ,宁德时代,电力设备,宁德时代|CATL|宁王
600519.SH,贵州茅台,食品饮料,贵州茅台|茅台
601398.SH,工商银行,银行,工商银行|工行
000001.SZ,平安银行,银行,平安银行
688981.SH,中芯国际,电子,中芯国际|中芯
600036.SH,招商银行,银行,招商银行|招行
002594.SZ,比亚迪,汽车,比亚迪
600276.SH,恒瑞医药,医药生物,恒瑞医药|恒瑞
600900.SH,长江电力,公用事业,长江电力
601318.SH,中国平安,非银金融,中国平安|平安
601899.SH,紫金矿业,有色金属,紫金矿业|紫金
600941.SH,中国移动,通信,中国移动
600030.SH,中信证券,非银金融,中信证券|中信
600887.SH,伊利股份,食品饮料,伊利股份|伊利
000333.SZ,美的集团,家用电器,美的集团|美的
600031.SH,三一重工,机械设备,三一重工|三一
601166.SH,兴业银行,银行,兴业银行
300015.SZ,爱尔眼科,医药生物,爱尔眼科|爱尔
002415.SZ,海康威视,计算机,海康威视|海康
601088.SH,中国神华,煤炭,中国神华|神华
